Courtney Lee,totals.2014,28,MEM,NBA,SG,7,7,224,25,60,.417,6,19,.316,19,41,.463,.467,14,18,.778,3,11,14,11,5,2,6,20,70
Courtney Lee,totals.2015,29,MEM,NBA,SG,11,11,367,55,100,.550,14,30,.467,41,70,.586,.620,22,23,.957,3,25,28,24,12,0,13,24,146
Courtney Lee,totals.2016,30,CHO,NBA,SG,7,7,257,21,51,.412,4,9,.444,17,42,.405,.451,14,15,.933,5,15,20,9,6,3,5,19,60
Kawhi Leonard,totals.2012,20,SAS,NBA,SF,14,14,379,45,90,.500,18,40,.450,27,50,.540,.600,13,16,.813,18,65,83,8,17,6,13,23,121
Kawhi Leonard,totals.2013,21,SAS,NBA,SF,21,21,775,115,211,.545,23,59,.390,92,152,.605,.600,31,49,.633,50,140,190,22,37,11,23,40,284
Kawhi Leonard,totals.2014,22,SAS,NBA,SF,23,23,736,122,239,.510,31,74,.419,91,165,.552,.575,53,72,.736,31,124,155,38,39,14,29,66,328
Kawhi Leonard,totals.2015,23,SAS,NBA,SF,7,7,250,52,109,.477,11,26,.423,41,83,.494,.528,27,35,.771,13,39,52,18,8,4,15,18,142
Kawhi Leonard,totals.2016,24,SAS,NBA,SF,10,10,339,83,166,.500,17,39,.436,66,127,.520,.551,42,51,.824,14,49,63,28,26,14,16,21,225
Kawhi Leonard,totals.2017,25,SAS,NBA,SF,12,12,429,106,202,.525,25,55,.455,81,147,.551,.587,95,102,.931,19,74,93,55,20,6,26,21,332
Kawhi Leonard,totals.2019,27,TOR,NBA,SF,24,24,939,243,496,.490,55,145,.379,188,351,.536,.545,191,216,.884,54,164,218,94,40,17,74,56,732
Meyers Leonard,totals.2014,21,POR,NBA,C,4,0,9,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,2,2,0,0,0,0,1,0
Meyers Leonard,totals.2015,22,POR,NBA,C,5,0,106,14,21,.667,10,13,.769,4,8,.500,.905,1,2,.500,6,27,33,5,2,2,3,17,39
Meyers Leonard,totals.2017,24,POR,NBA,PF,3,1,31,1,5,.200,0,4,.000,1,1,1.000,.200,0,0,,2,6,8,1,0,0,4,6,2
Meyers Leonard,totals.2018,25,POR,NBA,C,2,0,8,4,4,1.000,0,0,,4,4,1.000,1.000,0,0,,0,4,4,0,0,0,0,0,8
Meyers Leonard,totals.2019,26,POR,NBA,C,11,2,170,34,65,.523,14,33,.424,20,32,.625,.631,3,9,.333,6,34,40,12,2,1,4,27,85
Jon Leuer,totals.2013,23,MEM,NBA,PF,5,0,11,1,2,.500,0,0,,1,2,.500,.500,0,0,,2,1,3,0,1,1,0,1,2
Jon Leuer,totals.2014,24,MEM,NBA,PF,3,0,23,3,7,.429,1,2,.500,2,5,.400,.500,2,2,1.000,2,6,8,2,1,0,0,2,9
Jon Leuer,totals.2015,25,MEM,NBA,PF,4,0,9,2,4,.500,0,0,,2,4,.500,.500,0,0,,2,3,5,0,0,0,0,1,4
Jon Leuer,totals.2019,29,DET,NBA,PF,1,0,5,1,2,.500,0,0,,1,2,.500,.500,0,1,.000,0,0,0,0,0,0,0,1,2
DeAndre Liggins,totals.2013,24,OKC,NBA,SG,8,0,68,3,9,.333,1,5,.200,2,4,.500,.389,1,4,.250,0,14,14,4,1,1,2,10,8
DeAndre Liggins,totals.2018,29,NOP,NBA,SG,3,0,14,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,1,1,0,0,0,2,0,1
Damian Lillard,totals.2014,23,POR,NBA,PG,11,11,466,83,189,.439,27,70,.386,56,119,.471,.511,59,66,.894,12,44,56,72,11,1,30,29,252
Damian Lillard,totals.2015,24,POR,NBA,PG,5,5,201,39,96,.406,5,31,.161,34,65,.523,.432,25,32,.781,2,18,20,23,2,3,12,15,108
Damian Lillard,totals.2016,25,POR,NBA,PG,11,11,437,89,242,.368,42,107,.393,47,135,.348,.455,71,78,.910,12,35,47,69,14,3,33,23,291
Damian Lillard,totals.2017,26,POR,NBA,PG,4,4,151,39,90,.433,9,32,.281,30,58,.517,.483,24,25,.960,4,14,18,13,5,2,13,11,111
Damian Lillard,totals.2018,27,POR,NBA,PG,4,4,162,25,71,.352,9,30,.300,16,41,.390,.415,15,17,.882,3,15,18,19,5,0,16,8,74
Damian Lillard,totals.2019,28,POR,NBA,PG,16,16,650,138,330,.418,59,158,.373,79,172,.459,.508,95,114,.833,8,68,76,106,27,5,60,40,430
Jeremy Lin,totals.2013,24,HOU,NBA,PG,4,3,84,6,24,.250,2,12,.167,4,12,.333,.292,2,2,1.000,0,8,8,8,2,1,8,9,16
Jeremy Lin,totals.2014,25,HOU,NBA,PG,6,0,177,25,61,.410,5,23,.217,20,38,.526,.451,13,16,.813,7,15,22,26,3,1,13,15,68
Jeremy Lin,totals.2016,27,CHO,NBA,SG,7,0,189,26,63,.413,3,14,.214,23,49,.469,.437,32,39,.821,3,13,16,18,5,0,11,21,87
Jeremy Lin,totals.2019,30,TOR,NBA,PG,8,0,27,2,9,.222,1,2,.500,1,7,.143,.278,4,4,1.000,0,3,3,4,1,0,5,2,9
Kevon Looney,totals.2018,21,GSW,NBA,C,21,5,387,39,72,.542,0,2,.000,39,70,.557,.542,8,21,.381,42,47,89,19,14,8,8,50,86
Kevon Looney,totals.2019,22,GSW,NBA,C,21,1,432,64,93,.688,0,0,,64,93,.688,.688,21,29,.724,41,53,94,20,12,11,13,50,149
Brook Lopez,totals.2013,24,BRK,NBA,C,7,7,263,58,123,.472,1,1,1.000,57,122,.467,.476,39,44,.886,29,23,52,10,6,21,16,20,156
Brook Lopez,totals.2015,26,BRK,NBA,C,6,6,234,43,87,.494,0,0,,43,87,.494,.494,33,40,.825,20,34,54,5,4,13,6,18,119
Brook Lopez,totals.2019,30,MIL,NBA,C,15,15,438,61,134,.455,22,75,.293,39,59,.661,.537,24,29,.828,12,70,82,21,6,28,10,46,168
Robin Lopez,totals.2010,21,PHO,NBA,C,6,6,104,19,35,.543,0,0,,19,35,.543,.543,9,9,1.000,12,12,24,0,2,1,3,11,47
Robin Lopez,totals.2014,25,POR,NBA,C,11,11,367,43,88,.489,0,0,,43,88,.489,.489,24,36,.667,47,54,101,9,6,20,11,40,110
Robin Lopez,totals.2015,26,POR,NBA,C,5,5,117,9,15,.600,0,0,,9,15,.600,.600,8,8,1.000,9,13,22,3,1,5,5,15,26
Robin Lopez,totals.2017,28,CHI,NBA,C,6,6,162,34,52,.654,0,0,,34,52,.654,.654,8,8,1.000,28,15,43,5,3,6,8,13,76
Kevin Love,totals.2015,26,CLE,NBA,PF,4,4,107,17,41,.415,9,21,.429,8,20,.400,.524,14,19,.737,6,22,28,10,1,2,6,12,57
Kevin Love,totals.2016,27,CLE,NBA,PF,20,19,613,92,239,.385,46,111,.414,46,128,.359,.481,63,75,.840,34,141,175,42,9,8,27,34,293
Kevin Love,totals.2017,28,CLE,NBA,PF,18,18,578,95,218,.436,50,111,.450,45,107,.421,.550,63,75,.840,36,155,191,30,21,16,31,46,303
Kevin Love,totals.2018,29,CLE,NBA,C,21,21,660,109,278,.392,36,106,.340,73,172,.424,.457,59,64,.922,49,166,215,34,15,8,41,58,313
Kyle Lowry,totals.2009,22,HOU,NBA,PG,13,0,254,21,63,.333,4,16,.250,17,47,.362,.365,23,31,.742,8,30,38,32,12,1,17,23,69
Kyle Lowry,totals.2014,27,TOR,NBA,PG,7,7,271,44,109,.404,17,43,.395,27,66,.409,.482,43,49,.878,9,24,33,33,6,0,20,27,148
Kyle Lowry,totals.2015,28,TOR,NBA,PG,4,4,131,18,57,.316,5,23,.217,13,34,.382,.360,8,11,.727,7,15,22,19,5,0,12,18,49
Kyle Lowry,totals.2016,29,TOR,NBA,PG,20,20,766,131,330,.397,42,138,.304,89,192,.464,.461,78,104,.750,18,76,94,119,32,3,63,73,382
Kyle Lowry,totals.2017,30,TOR,NBA,PG,8,8,300,43,93,.462,13,38,.342,30,55,.545,.532,27,33,.818,3,22,25,47,12,4,17,26,126
Kyle Lowry,totals.2018,31,TOR,NBA,PG,10,10,361,60,118,.508,28,63,.444,32,55,.582,.627,26,32,.813,2,41,43,85,15,0,31,33,174
Kyle Lowry,totals.2019,32,TOR,NBA,PG,24,24,901,122,278,.439,52,145,.359,70,133,.526,.532,65,81,.802,21,96,117,159,31,7,53,96,361
Trey Lyles,totals.2017,21,UTA,NBA,PF,2,0,10,3,7,.429,1,3,.333,2,4,.500,.500,0,0,,0,2,2,1,1,0,1,1,7
Trey Lyles,totals.2019,23,DEN,NBA,PF,3,0,8,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,1,0,1,2,0,0,0,1,0
Sheldon Mac,totals.2017,24,WAS,NBA,SG,7,0,17,5,9,.556,2,5,.400,3,4,.750,.667,2,2,1.000,0,2,2,0,0,0,1,1,14
Scott Machado,totals.2013,22,GSW,NBA,PG,5,0,8,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,0,1,1,1,0,0,1,1,3
Shelvin Mack,totals.2013,22,ATL,NBA,PG,4,0,22,4,9,.444,2,5,.400,2,4,.500,.556,0,0,,3,4,7,7,0,0,0,0,10
Shelvin Mack,totals.2014,23,ATL,NBA,PG,7,0,118,19,47,.404,10,27,.370,9,20,.450,.511,9,12,.750,3,10,13,25,4,0,6,10,57
Shelvin Mack,totals.2015,24,ATL,NBA,PG,10,0,99,15,39,.385,6,21,.286,9,18,.500,.462,3,6,.500,2,9,11,10,8,0,2,7,39
Shelvin Mack,totals.2017,26,UTA,NBA,PG,9,3,155,17,49,.347,7,15,.467,10,34,.294,.418,13,15,.867,3,22,25,18,4,0,9,14,54
Ian Mahinmi,totals.2010,23,SAS,NBA,C,2,0,19,3,6,.500,0,0,,3,6,.500,.500,3,4,.750,0,2,2,0,0,1,2,3,9
Ian Mahinmi,totals.2011,24,DAL,NBA,C,6,0,33,3,5,.600,0,0,,3,5,.600,.600,5,9,.556,3,3,6,0,1,0,0,16,11
Ian Mahinmi,totals.2012,25,DAL,NBA,C,4,0,70,9,14,.643,0,0,,9,14,.643,.643,11,13,.846,9,9,18,0,3,3,1,13,29
Ian Mahinmi,totals.2013,26,IND,NBA,C,18,0,150,13,29,.448,0,0,,13,29,.448,.448,3,10,.300,20,22,42,1,0,13,12,28,29
Ian Mahinmi,totals.2014,27,IND,NBA,C,19,0,241,13,27,.481,0,0,,13,27,.481,.481,11,18,.611,22,23,45,3,5,16,10,38,37
Ian Mahinmi,totals.2016,29,IND,NBA,C,7,7,172,21,42,.500,0,0,,21,42,.500,.500,15,25,.600,12,24,36,8,5,6,14,25,57
Ian Mahinmi,totals.2017,30,WAS,NBA,C,5,0,63,5,9,.556,0,0,,5,9,.556,.556,4,11,.364,3,8,11,6,1,6,3,17,14
Ian Mahinmi,totals.2018,31,WAS,NBA,C,6,0,52,10,14,.714,0,0,,10,14,.714,.714,10,11,.909,4,7,11,1,4,5,1,10,30
Thon Maker,totals.2017,19,MIL,NBA,C,6,6,116,12,31,.387,2,10,.200,10,21,.476,.419,9,11,.818,8,11,19,12,5,11,8,18,35
Thon Maker,totals.2018,20,MIL,NBA,C,6,2,130,11,28,.393,6,20,.300,5,8,.625,.500,5,7,.714,6,17,23,5,2,11,4,17,33
Thon Maker,totals.2019,21,DET,NBA,PF,4,2,69,7,26,.269,0,12,.000,7,14,.500,.269,8,9,.889,4,5,9,4,0,4,3,14,22
Boban Marjanović,totals.2016,27,SAS,NBA,C,7,0,42,8,12,.667,0,0,,8,12,.667,.667,8,9,.889,4,10,14,3,0,2,3,10,24
Boban Marjanović,totals.2019,30,PHI,NBA,C,11,0,105,24,40,.600,0,3,.000,24,37,.649,.600,16,19,.842,13,23,36,11,2,3,14,18,64
Jarell Martin,totals.2016,21,MEM,NBA,PF,2,0,46,3,8,.375,0,0,,3,8,.375,.375,3,6,.500,4,3,7,1,3,0,3,4,9
Jarell Martin,totals.2017,22,MEM,NBA,PF,3,0,10,1,3,.333,0,0,,1,3,.333,.333,0,0,,2,2,4,0,1,0,0,2,2
Jarell Martin,totals.2019,24,ORL,NBA,PF,3,0,18,4,9,.444,2,7,.286,2,2,1.000,.556,0,2,.000,1,1,2,1,0,1,0,1,10
Wesley Matthews,totals.2010,23,UTA,NBA,SG,10,10,371,39,101,.386,15,42,.357,24,59,.407,.460,39,48,.813,10,34,44,17,18,5,15,34,132
Wesley Matthews,totals.2011,24,POR,NBA,SG,6,6,202,27,57,.474,8,21,.381,19,36,.528,.544,16,19,.842,2,5,7,6,4,1,7,15,78
Wesley Matthews,totals.2014,27,POR,NBA,SG,11,11,426,56,136,.412,22,68,.324,34,68,.500,.493,26,32,.813,7,36,43,14,14,5,22,45,160
Wesley Matthews,totals.2016,29,DAL,NBA,SF,5,5,173,20,60,.333,10,35,.286,10,25,.400,.417,15,19,.789,4,14,18,6,6,0,4,14,65
Wesley Matthews,totals.2019,32,IND,NBA,SG,4,4,119,9,30,.300,7,21,.333,2,9,.222,.417,3,3,1.000,0,10,10,8,3,1,8,6,28
Luc Mbah a Moute,totals.2010,23,MIL,NBA,PF,7,7,178,26,50,.520,0,2,.000,26,48,.542,.520,12,20,.600,14,25,39,5,2,0,7,15,64
Luc Mbah a Moute,totals.2013,26,MIL,NBA,SF,4,4,136,10,23,.435,0,4,.000,10,19,.526,.435,13,18,.722,4,10,14,7,4,0,5,9,33
Luc Mbah a Moute,totals.2016,29,LAC,NBA,PF,5,5,78,4,6,.667,0,0,,4,6,.667,.667,1,1,1.000,2,8,10,1,3,0,2,9,9
Luc Mbah a Moute,totals.2017,30,LAC,NBA,SF,7,7,224,17,43,.395,5,16,.313,12,27,.444,.453,14,20,.700,10,25,35,7,8,4,3,16,53
Luc Mbah a Moute,totals.2018,31,HOU,NBA,PF,9,0,149,9,36,.250,3,15,.200,6,21,.286,.292,4,7,.571,3,19,22,3,6,4,6,8,25
James Michael McAdoo,totals.2015,22,GSW,NBA,PF,5,0,10,2,3,.667,0,0,,2,3,.667,.667,0,0,,1,3,4,0,0,1,1,0,4
James Michael McAdoo,totals.2016,23,GSW,NBA,PF,8,0,38,2,4,.500,0,0,,2,4,.500,.500,1,4,.250,0,8,8,2,3,2,1,6,5
James Michael McAdoo,totals.2017,24,GSW,NBA,PF,13,0,56,9,17,.529,2,5,.400,7,12,.583,.588,4,6,.667,5,8,13,0,2,2,1,5,24
Patrick McCaw,totals.2017,21,GSW,NBA,SG,15,3,181,21,48,.438,8,23,.348,13,25,.520,.521,11,13,.846,10,23,33,16,9,3,3,14,61
Patrick McCaw,totals.2018,22,GSW,NBA,SG,6,0,16,1,2,.500,0,1,.000,1,1,1.000,.500,2,2,1.000,1,2,3,0,2,0,0,1,4
Patrick McCaw,totals.2019,23,TOR,NBA,SG,11,0,48,1,5,.200,1,3,.333,0,2,.000,.300,2,2,1.000,2,1,3,4,2,0,1,4,5
CJ McCollum,totals.2014,22,POR,NBA,SG,6,0,24,1,11,.091,0,5,.000,1,6,.167,.091,2,2,1.000,0,1,1,0,0,0,1,2,4
CJ McCollum,totals.2015,23,POR,NBA,SG,5,1,166,32,67,.478,11,23,.478,21,44,.477,.560,10,13,.769,1,19,20,2,6,1,6,13,85
