Al-Farouq Aminu,shooting.2019,28,POR,NBA,PF,16,399,.349,13.8,.532,.275,.202,.028,.028,.468,.397,.500,.273,.333,.333,.294,.609,.064,6,1.000,.549,.393,0,0
Justin Anderson,shooting.2016,22,DAL,NBA,SF,5,95,.459,11.8,.649,.432,.054,.054,.135,.351,.542,.625,1.000,.000,.200,.308,.769,.243,8,1.000,.231,.333,0,0
Justin Anderson,shooting.2018,24,PHI,NBA,SF,7,33,.375,21.1,.125,.125,.000,.000,.000,.875,1.000,1.000,,,,.286,1.000,.000,0,1.000,.286,.500,0,0
Kyle Anderson,shooting.2016,22,SAS,NBA,SF,10,129,.320,11.9,.880,.200,.280,.080,.320,.120,.318,.800,.286,.500,.000,.333,.286,.040,1,1.000,1.000,.333,0,0
Kyle Anderson,shooting.2017,23,SAS,NBA,SF,15,195,.563,9.0,.844,.391,.234,.125,.063,.156,.611,.760,.600,.625,.000,.300,.485,.109,7,.667,.700,.286,0,0
Kyle Anderson,shooting.2018,24,SAS,NBA,SF,5,73,.600,9.5,.800,.450,.300,.000,.050,.200,.750,.889,.500,,1.000,.000,.667,.050,1,,.750,.000,1,0
Ryan Anderson,shooting.2010,21,ORL,NBA,PF,9,89,.310,13.2,.517,.448,.000,.034,.034,.483,.333,.385,,.000,.000,.286,.600,.034,1,1.000,.286,.500,0,0
Ryan Anderson,shooting.2011,22,ORL,NBA,PF,6,147,.267,17.5,.333,.300,.033,.000,.000,.667,.200,.222,.000,,,.300,.000,.000,0,.833,.100,.000,0,0
Ryan Anderson,shooting.2012,23,ORL,NBA,PF,5,172,.341,19.3,.318,.205,.000,.000,.114,.682,.214,.222,,,.200,.400,.667,.000,0,1.000,.433,.385,0,0
Ryan Anderson,shooting.2015,26,NOP,NBA,PF,4,95,.444,14.6,.667,.306,.056,.083,.222,.333,.458,.364,.000,.333,.750,.417,.636,.028,1,1.000,.000,,0,0
Ryan Anderson,shooting.2017,28,HOU,NBA,PF,11,336,.391,19.0,.348,.217,.022,.065,.043,.652,.594,.600,.500,.833,.250,.283,.421,.022,2,.941,.183,.364,0,0
Ryan Anderson,shooting.2018,29,HOU,NBA,PF,11,95,.350,22.4,.250,.050,.050,.050,.100,.750,.400,1.000,.000,.000,.500,.333,.000,.000,0,1.000,.200,1.000,0,0
Giannis Antetokounmpo,shooting.2015,20,MIL,NBA,SG,6,201,.366,7.3,.986,.465,.239,.056,.225,.014,.371,.515,.235,.250,.250,.000,.577,.014,1,,.000,,0,0
Giannis Antetokounmpo,shooting.2017,22,MIL,NBA,SF,6,243,.536,7.5,.911,.554,.161,.045,.161,.089,.549,.629,.389,.400,.444,.400,.464,.152,16,.750,.100,1.000,0,0
Giannis Antetokounmpo,shooting.2018,23,MIL,NBA,PF,7,280,.570,8.6,.884,.430,.190,.157,.107,.116,.607,.769,.478,.474,.385,.286,.431,.165,18,1.000,.000,,1,0
