Álex Abrines,per_minute.2017,23,OKC,NBA,SG,5,0,80,3.6,10.4,.348,2.3,7.7,.294,1.4,2.7,.500,1.4,1.8,.750,0.9,3.2,4.1,1.8,0.0,0.0,0.0,3.6,10.8
Álex Abrines,per_minute.2018,24,OKC,NBA,SG,6,0,110,2.6,6.5,.400,2.0,4.3,.462,0.7,2.3,.286,0.7,0.7,1.000,1.0,4.3,5.2,0.7,1.6,0.7,0.3,3.6,7.9
Steven Adams,per_minute.2014,20,OKC,NBA,C,18,0,331,3.4,4.9,.689,0.0,0.0,,3.4,4.9,.689,0.9,2.5,.348,2.4,5.7,8.0,0.4,0.1,2.6,1.1,5.2,7.6
Steven Adams,per_minute.2016,22,OKC,NBA,C,18,18,553,4.4,7.2,.613,0.0,0.1,.000,4.4,7.2,.618,3.0,4.8,.630,4.0,7.1,11.1,0.8,0.6,0.9,1.1,3.6,11.8
Steven Adams,per_minute.2017,23,OKC,NBA,C,5,5,157,4.1,6.4,.643,0.0,0.0,,4.1,6.4,.643,0.9,2.5,.364,3.9,3.9,7.8,1.6,1.4,2.1,0.9,3.2,9.2
Steven Adams,per_minute.2018,24,OKC,NBA,C,6,6,200,4.9,8.3,.587,0.0,0.0,,4.9,8.3,.587,1.6,2.3,.692,3.4,4.7,8.1,1.6,0.7,0.7,0.7,2.7,11.3
Steven Adams,per_minute.2019,25,OKC,NBA,C,5,5,159,6.3,9.5,.667,0.0,0.2,.000,6.3,9.3,.683,0.7,1.8,.375,2.7,5.4,8.2,1.6,1.1,1.1,2.0,2.9,13.4
Bam Adebayo,per_minute.2018,20,MIA,NBA,C,5,0,77,3.3,7.0,.467,0.0,0.5,.000,3.3,6.5,.500,1.4,6.5,.214,4.2,5.1,9.4,0.0,0.0,0.9,0.9,3.7,7.9
Alexis Ajinça,per_minute.2015,26,NOP,NBA,C,3,0,10,14.4,14.4,1.000,0.0,0.0,,14.4,14.4,1.000,0.0,0.0,,0.0,3.6,3.6,3.6,3.6,0.0,0.0,7.2,28.8
Cole Aldrich,per_minute.2012,23,OKC,NBA,C,5,0,25,5.8,13.0,.444,0.0,0.0,,5.8,13.0,.444,2.9,5.8,.500,7.2,11.5,18.7,0.0,0.0,0.0,0.0,4.3,14.4
Cole Aldrich,per_minute.2016,27,LAC,NBA,C,6,0,77,4.7,7.0,.667,0.0,0.0,,4.7,7.0,.667,1.4,2.8,.500,3.7,10.3,14.0,1.4,2.8,1.4,0.9,5.1,10.8
LaMarcus Aldridge,per_minute.2009,23,POR,NBA,PF,6,6,237,7.7,15.8,.490,0.2,0.6,.250,7.6,15.2,.500,2.1,3.0,.700,1.4,5.5,6.8,1.2,0.5,1.5,1.5,2.4,17.8
LaMarcus Aldridge,per_minute.2010,24,POR,NBA,PF,6,6,229,6.3,14.6,.430,0.2,0.3,.500,6.1,14.3,.429,5.2,6.9,.750,1.6,4.1,5.7,2.0,1.1,1.7,1.7,2.5,17.9
LaMarcus Aldridge,per_minute.2011,25,POR,NBA,PF,6,6,258,7.4,16.0,.461,0.0,0.0,,7.4,16.0,.461,2.7,3.3,.792,2.2,4.0,6.3,1.1,1.1,1.4,1.3,2.7,17.4
LaMarcus Aldridge,per_minute.2014,28,POR,NBA,PF,11,11,441,9.2,20.4,.452,0.2,0.2,.667,9.1,20.2,.449,4.9,6.1,.800,2.4,7.1,9.6,1.3,0.6,1.5,1.6,3.3,23.5
LaMarcus Aldridge,per_minute.2015,29,POR,NBA,PF,5,5,208,6.4,19.4,.330,0.5,1.9,.273,5.9,17.5,.337,5.5,6.2,.889,3.6,6.1,9.7,1.6,0.3,2.1,1.4,2.8,18.9
LaMarcus Aldridge,per_minute.2016,30,SAS,NBA,PF,10,10,337,9.4,18.1,.521,0.2,0.2,1.000,9.2,17.8,.515,4.4,4.9,.891,2.4,6.5,8.9,1.1,0.4,1.5,1.2,1.9,23.4
LaMarcus Aldridge,per_minute.2017,31,SAS,NBA,PF,16,16,537,7.4,16.1,.458,0.1,0.9,.143,7.2,15.2,.478,2.8,3.7,.764,2.9,5.1,8.0,1.6,0.7,1.1,1.9,2.7,17.7
LaMarcus Aldridge,per_minute.2018,32,SAS,NBA,C,5,5,177,7.5,16.3,.463,0.6,1.0,.600,6.9,15.3,.453,8.3,8.5,.976,2.6,6.7,9.4,2.4,0.6,0.4,1.8,1.8,24.0
LaMarcus Aldridge,per_minute.2019,33,SAS,NBA,C,7,7,244,8.1,17.9,.455,0.4,1.6,.273,7.7,16.2,.473,4.0,4.9,.818,2.8,7.1,9.9,2.8,0.7,1.0,1.0,3.1,20.7
Grayson Allen,per_minute.2019,23,UTA,NBA,SG,2,0,14,5.1,18.0,.286,0.0,7.7,.000,5.1,10.3,.500,12.9,18.0,.714,0.0,2.6,2.6,0.0,0.0,0.0,0.0,0.0,23.1
Jarrett Allen,per_minute.2019,20,BRK,NBA,C,5,5,110,6.2,10.5,.594,0.0,0.0,,6.2,10.5,.594,5.6,6.5,.850,4.9,6.2,11.1,3.6,1.0,1.0,2.6,4.3,18.0
Lavoy Allen,per_minute.2012,22,PHI,NBA,PF,12,1,236,5.2,9.3,.557,0.0,0.0,,5.2,9.3,.557,1.1,1.8,.583,3.2,5.8,9.0,0.5,1.5,1.7,0.8,4.6,11.4
Lavoy Allen,per_minute.2014,24,IND,NBA,PF,4,0,15,4.8,9.6,.500,0.0,0.0,,4.8,9.6,.500,0.0,0.0,,2.4,9.6,12.0,2.4,0.0,0.0,0.0,2.4,9.6
Lavoy Allen,per_minute.2016,26,IND,NBA,PF,6,3,51,2.1,7.1,.300,0.0,0.0,,2.1,7.1,.300,0.0,0.0,,2.8,7.1,9.9,1.4,0.7,0.7,0.7,1.4,4.2
Lavoy Allen,per_minute.2017,27,IND,NBA,PF,3,0,11,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,6.5,6.5,0.0,0.0,0.0,3.3,0.0,0.0
Al-Farouq Aminu,per_minute.2015,24,DAL,NBA,SF,5,2,150,4.1,7.4,.548,1.7,2.6,.636,2.4,4.8,.500,3.6,4.6,.789,3.4,5.3,8.6,1.4,2.4,1.9,1.4,3.6,13.4
Al-Farouq Aminu,per_minute.2016,25,POR,NBA,SF,11,11,372,5.4,12.4,.438,2.7,6.8,.400,2.7,5.6,.483,2.0,2.8,.724,2.2,7.0,9.2,1.9,0.8,1.0,2.0,3.0,15.6
Al-Farouq Aminu,per_minute.2017,26,POR,NBA,PF,4,0,113,5.4,11.8,.459,2.2,5.4,.412,3.2,6.4,.500,2.2,3.5,.636,1.6,6.7,8.3,1.3,1.0,1.3,2.9,2.9,15.3
Al-Farouq Aminu,per_minute.2018,27,POR,NBA,PF,4,4,131,7.4,14.3,.519,3.6,8.2,.433,3.8,6.0,.636,0.5,0.5,1.000,3.3,6.6,9.9,1.4,1.1,0.5,1.6,2.2,19.0
Al-Farouq Aminu,per_minute.2019,28,POR,NBA,PF,16,16,399,3.4,9.8,.349,1.4,4.6,.294,2.1,5.2,.397,2.4,3.2,.750,2.6,6.4,9.0,1.9,0.8,0.9,1.4,3.1,10.6
Justin Anderson,per_minute.2016,22,DAL,NBA,SF,5,1,95,6.4,14.0,.459,1.5,4.9,.308,4.9,9.1,.542,3.4,5.3,.643,3.4,4.2,7.6,2.7,1.5,1.1,1.9,4.5,17.8
Justin Anderson,per_minute.2018,24,PHI,NBA,SF,7,0,33,3.3,8.7,.375,2.2,7.6,.286,1.1,1.1,1.000,0.0,0.0,,1.1,8.7,9.8,0.0,1.1,0.0,2.2,8.7,8.7
Kyle Anderson,per_minute.2016,22,SAS,NBA,SF,10,0,129,2.2,7.0,.320,0.3,0.8,.333,2.0,6.1,.318,1.7,2.0,.857,0.6,6.1,6.7,2.0,1.7,0.8,1.1,3.1,6.4
