Alexis Ajinça,2011,22,TOR,NBA,C,24,265,.465,15.7,.733,.267,.050,.020,.396,.267,.514,.704,.600,.000,.400,.333,.684,.109,9,1.000,.000,,0,0
Alexis Ajinça,2014,25,NOP,NBA,C,56,951,.546,6.8,.996,.494,.197,.181,.129,.004,.548,.642,.388,.467,.531,.000,.706,.213,46,,.000,,0,0
Alexis Ajinça,2015,26,NOP,NBA,C,68,957,.550,7.2,1.000,.340,.353,.198,.106,.000,.550,.616,.552,.508,.429,,.613,.088,28,,,,0,0
Alexis Ajinça,2016,27,NOP,NBA,C,59,861,.476,9.4,.997,.283,.257,.108,.346,.003,.478,.674,.346,.324,.468,.000,.767,.098,27,,.000,,0,0
Alexis Ajinça,2017,28,NOP,NBA,C,39,584,.500,9.0,.978,.348,.253,.107,.270,.022,.511,.710,.378,.579,.354,.000,.820,.129,20,,.000,,0,0
DeVaughn Akoon-Purcell,2019,25,DEN,NBA,SG,7,22,.300,12.9,.600,.500,.000,.000,.100,.400,.500,.600,,,.000,.000,.667,.100,1,,.250,.000,0,0
Cole Aldrich,2011,22,OKC,NBA,C,18,142,.533,3.8,1.000,.400,.600,.000,.000,.000,.533,1.000,.222,,,,.375,.333,5,,,,0,0
Cole Aldrich,2012,23,OKC,NBA,C,26,173,.524,3.6,1.000,.548,.429,.024,.000,.000,.524,.696,.333,.000,,,.773,.333,13,,,,0,0
Cole Aldrich,2013,24,TOT,NBA,C,45,388,.550,3.7,1.000,.550,.438,.013,.000,.000,.550,.682,.371,1.000,,,.636,.250,16,,,,0,0
Cole Aldrich,2013,24,HOU,NBA,C,30,213,.535,4.2,1.000,.512,.465,.023,.000,.000,.535,.636,.400,1.000,,,.783,.256,8,,,,0,0
Cole Aldrich,2013,24,SAC,NBA,C,15,175,.568,3.0,1.000,.595,.405,.000,.000,.000,.568,.727,.333,,,,.476,.243,8,,,,0,0
Cole Aldrich,2014,25,NYK,NBA,C,46,330,.541,3.4,1.000,.492,.508,.000,.000,.000,.541,.633,.452,,,,.545,.131,7,,,,0,0
Cole Aldrich,2015,26,NYK,NBA,C,61,976,.478,4.7,1.000,.349,.571,.060,.007,.000,.478,.695,.366,.333,.000,,.653,.093,26,,,,0,0
Cole Aldrich,2016,27,LAC,NBA,C,60,800,.596,2.8,1.000,.560,.427,.013,.000,.000,.596,.667,.521,.000,,,.776,.093,17,,,,0,0
Cole Aldrich,2017,28,MIN,NBA,C,62,531,.523,3.0,1.000,.581,.407,.012,.000,.000,.523,.640,.371,.000,,,.733,.128,11,,,,0,0
Cole Aldrich,2018,29,MIN,NBA,C,21,49,.333,3.2,1.000,.533,.467,.000,.000,.000,.333,.250,.429,,,,.800,.067,1,,,,0,0
LaMarcus Aldridge,2007,21,POR,NBA,C,63,1392,.503,9.3,.996,.367,.129,.194,.305,.004,.505,.710,.484,.312,.390,.000,.680,.121,52,,.000,,0,0
LaMarcus Aldridge,2008,22,POR,NBA,PF,76,2649,.484,10.9,.994,.197,.272,.218,.308,.006,.486,.693,.463,.443,.403,.143,.645,.079,86,1.000,.143,.000,2,0
LaMarcus Aldridge,2009,23,POR,NBA,PF,81,3004,.484,11.0,.977,.245,.211,.179,.343,.023,.489,.671,.450,.422,.418,.250,.567,.098,108,1.000,.643,.389,3,0
LaMarcus Aldridge,2010,24,POR,NBA,PF,78,2922,.495,10.8,.986,.247,.215,.210,.314,.014,.498,.716,.442,.431,.409,.313,.570,.078,87,1.000,.375,.667,3,0
LaMarcus Aldridge,2011,25,POR,NBA,PF,81,3211,.500,9.3,.984,.320,.271,.155,.238,.016,.505,.704,.397,.402,.427,.174,.546,.117,148,.750,.217,.000,4,0
LaMarcus Aldridge,2012,26,POR,NBA,PF,55,1994,.512,10.6,.988,.281,.182,.205,.320,.012,.516,.687,.523,.404,.434,.182,.536,.062,54,.500,.364,.000,1,0
LaMarcus Aldridge,2013,27,POR,NBA,PF,74,2790,.484,11.7,.989,.215,.192,.197,.385,.011,.488,.694,.447,.438,.418,.143,.542,.047,56,.500,.286,.250,1,0
LaMarcus Aldridge,2014,28,POR,NBA,PF,69,2498,.458,12.5,.989,.186,.162,.226,.415,.011,.461,.675,.364,.388,.442,.200,.599,.027,36,.667,.067,.000,1,0
LaMarcus Aldridge,2015,29,POR,NBA,PF,71,2512,.466,12.8,.926,.192,.164,.206,.365,.074,.475,.701,.448,.392,.415,.352,.468,.020,27,.919,.295,.355,1,0
LaMarcus Aldridge,2016,30,SAS,NBA,PF,74,2261,.513,10.0,.985,.279,.191,.211,.303,.015,.521,.733,.465,.427,.426,.000,.660,.047,47,,.500,.000,0,0
LaMarcus Aldridge,2017,31,SAS,NBA,PF,72,2335,.477,11.8,.947,.222,.194,.202,.328,.053,.480,.700,.422,.387,.424,.411,.577,.041,37,.957,.411,.435,0,0
LaMarcus Aldridge,2018,32,SAS,NBA,C,75,2509,.510,9.8,.932,.275,.212,.256,.189,.068,.526,.735,.446,.438,.431,.293,.502,.036,46,.963,.163,.467,1,0
LaMarcus Aldridge,2019,33,SAS,NBA,C,81,2687,.519,9.7,.968,.270,.246,.252,.201,.032,.528,.716,.485,.437,.442,.238,.588,.042,51,.900,.095,.250,0,0
LaMarcus Aldridge,2020,34,SAS,NBA,C,53,1754,.493,13.7,.802,.202,.129,.227,.245,.198,.519,.719,.471,.461,.433,.389,.567,.044,31,.951,.185,.379,1,0
Nickeil Alexander-Walker,2020,21,NOP,NBA,SG,41,501,.339,16.3,.485,.229,.172,.057,.026,.515,.336,.462,.205,.231,.333,.342,.135,.004,1,.900,.188,.364,4,0
Rawle Alkins,2019,21,CHI,NBA,SG,10,120,.333,10.1,.692,.385,.282,.026,.000,.308,.370,.533,.182,.000,,.250,.700,.026,1,1.000,.333,.500,0,0
Grayson Allen,2019,23,UTA,NBA,SG,38,416,.376,17.5,.444,.157,.140,.079,.067,.556,.443,.571,.360,.286,.500,.323,.400,.045,6,.938,.303,.400,1,0
Grayson Allen,2020,24,MEM,NBA,SG,30,498,.449,15.7,.483,.188,.199,.091,.006,.517,.541,.758,.400,.438,.000,.363,.587,.063,10,.970,.275,.480,0,0
Jarrett Allen,2018,19,BRK,NBA,C,72,1441,.589,3.7,.962,.668,.232,.038,.023,.038,.599,.698,.380,.333,.333,.333,.843,.353,117,1.000,.867,.385,2,1
Jarrett Allen,2019,20,BRK,NBA,C,80,2096,.590,4.3,.921,.678,.220,.021,.002,.079,.629,.725,.384,.167,.000,.133,.830,.343,170,1.000,.867,.154,0,0
Jarrett Allen,2020,21,BRK,NBA,C,64,1647,.646,2.4,.988,.772,.201,.012,.002,.012,.654,.737,.373,.200,.000,.000,.790,.472,165,,.800,.000,0,0
Kadeem Allen,2018,25,BOS,NBA,PG,18,107,.273,14.4,.500,.318,.091,.091,.000,.500,.545,.571,.500,.500,,.000,.500,.045,1,,.364,.000,0,0
Kadeem Allen,2019,26,NYK,NBA,SG,19,416,.461,12.0,.745,.298,.184,.191,.071,.255,.457,.643,.308,.370,.300,.472,.208,.000,0,.882,.139,.200,1,0
Kadeem Allen,2020,27,NYK,NBA,SG,10,117,.432,15.1,.636,.159,.182,.227,.068,.364,.500,.571,.375,.600,.333,.313,.286,.000,0,.800,.313,.400,0,0
Lavoy Allen,2012,22,PHI,NBA,PF,41,624,.473,10.8,1.000,.222,.210,.240,.329,.000,.473,.676,.600,.400,.309,,.848,.048,7,,,,0,0
Lavoy Allen,2013,23,PHI,NBA,C,79,1669,.454,10.1,.998,.275,.222,.165,.335,.002,.455,.664,.436,.360,.342,.000,.743,.037,16,,1.000,.000,0,0
Lavoy Allen,2014,24,TOT,NBA,PF,65,1072,.447,9.7,.957,.290,.270,.140,.257,.043,.460,.563,.531,.286,.364,.154,.697,.020,6,1.000,.000,,0,0
Lavoy Allen,2014,24,PHI,NBA,PF,51,960,.440,10.0,.951,.282,.267,.132,.271,.049,.455,.547,.535,.286,.361,.154,.678,.023,6,1.000,.000,,0,0
Lavoy Allen,2014,24,IND,NBA,PF,14,112,.500,7.7,1.000,.353,.294,.206,.147,.000,.500,.667,.500,.286,.400,,.824,.000,0,,,,0,0
Lavoy Allen,2015,25,IND,NBA,C,63,1070,.472,10.3,1.000,.308,.224,.090,.378,.000,.472,.707,.403,.259,.372,,.674,.030,8,,,,0,0
Lavoy Allen,2016,26,IND,NBA,PF,79,1599,.516,7.6,1.000,.381,.273,.103,.243,.000,.516,.709,.446,.289,.389,,.691,.081,28,,,,0,0
